gameid,date,home,away,competition,name,odds,is_cashoutable
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Acima de 5.5,1.32,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Abaixo de 5.5,3.3,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Acima de 6.5,1.48,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Abaixo de 6.5,2.65,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Acima de 7.5,1.78,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Abaixo de 7.5,2.0,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Acima de 8.5,2.05,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Abaixo de 8.5,1.72,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Acima de 9.5,2.65,False
3001870789,2023-09-05T22:10:00Z,Cleveland Guardians,MIN Twins,EUA - MLB,Abaixo de 9.5,1.48,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Acima de 6.5,1.42,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Abaixo de 6.5,2.85,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Acima de 7.5,1.68,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Abaixo de 7.5,2.15,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Acima de 8.5,1.95,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Abaixo de 8.5,1.85,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Acima de 9.5,2.4,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Abaixo de 9.5,1.55,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Acima de 10.5,2.85,False
3001870785,2023-09-05T22:35:00Z,PIT Pirates,MIL Brewers,EUA - MLB,Abaixo de 10.5,1.4,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Acima de 5.5,1.38,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Abaixo de 5.5,3.0,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Acima de 6.5,1.55,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Abaixo de 6.5,2.4,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Acima de 7.5,1.9,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Abaixo de 7.5,1.88,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Acima de 8.5,2.25,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Abaixo de 8.5,1.62,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Acima de 9.5,2.85,False
3001870787,2023-09-05T22:40:00Z,MIA Marlins,LA Dodgers,EUA - MLB,Abaixo de 9.5,1.42,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Acima de 6.5,1.45,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Abaixo de 6.5,2.7,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Acima de 7.5,1.75,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Abaixo de 7.5,2.05,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Acima de 8.5,2.0,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Abaixo de 8.5,1.78,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Acima de 9.5,2.55,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Abaixo de 9.5,1.5,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Acima de 10.5,3.1,False
3001870839,2023-09-05T22:40:00Z,TB Rays,BOS Red Sox,EUA - MLB,Abaixo de 10.5,1.35,False
