gameid,date,home,away,competition,name,odds,is_cashoutable
3001818748,2023-06-14T17:10:00Z,DET Tigers,ATL Braves,EUA - MLB,Tigers +1.5,16.5,False
3001818748,2023-06-14T17:10:00Z,DET Tigers,ATL Braves,EUA - MLB,Tigers +2.5,15.5,False
3001818748,2023-06-14T17:10:00Z,DET Tigers,ATL Braves,EUA - MLB,Tigers +3.5,10.5,False
3001818748,2023-06-14T17:10:00Z,DET Tigers,ATL Braves,EUA - MLB,Braves -3.5,1.04,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Acima de 6.5,1.32,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Abaixo de 6.5,3.25,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Acima de 7.5,1.55,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Abaixo de 7.5,2.4,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Acima de 8.5,1.78,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Abaixo de 8.5,2.0,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Acima de 9.5,2.15,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Abaixo de 9.5,1.68,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Acima de 10.5,2.55,False
3001818751,2023-06-14T23:05:00Z,BAL Orioles,TOR Blue Jays,EUA - MLB,Abaixo de 10.5,1.5,False
3001818776,2023-06-14T23:10:00Z,BOS Red Sox,COL Rockies,EUA - MLB,Acima de 8.5,1.48,False
3001818776,2023-06-14T23:10:00Z,BOS Red Sox,COL Rockies,EUA - MLB,Abaixo de 8.5,2.65,False
3001818776,2023-06-14T23:10:00Z,BOS Red Sox,COL Rockies,EUA - MLB,Acima de 9.5,1.72,False
